name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Bangkok,2021-11-16T00:00:00,27,30.1,24,83.68,0,0,,0,0,,2.3,110,1010,27.1,10,0,,0,,Partially cloudy,partly-cloudy-night,"VTBS,VTBD,48456099999,48459099999"
Bangkok,2021-11-16T01:00:00,26.9,30.4,24.8,88.07,0,0,,0,0,,0.1,100,1009.3,62.3,9.9,0,,0,,Partially cloudy,partly-cloudy-night,"48429099999,48455099999,48453099999,48456099999,48459099999,48420099999"
Bangkok,2021-11-16T02:00:00,27.2,30.8,24.5,84.94,0,0,,0,0,,0.9,0,1008.6,27.1,9.7,0,,0,,Partially cloudy,partly-cloudy-night,"VTBS,VTBD,48456099999,48459099999"
Bangkok,2021-11-16T03:00:00,27.2,30.7,24.2,83.67,0,0,,0,0,,4.1,55,1008.6,27.1,9.7,0,,0,,Partially cloudy,partly-cloudy-night,"VTBS,VTBD,48456099999,48459099999"
Bangkok,2021-11-16T04:00:00,26.8,29.6,23.9,84.36,0,0,,0,0,,1.3,61,1008.6,62.8,9.9,0,,0,,Partially cloudy,partly-cloudy-night,"48429099999,48455099999,48453099999,48456099999,48459099999,48420099999"
Bangkok,2021-11-16T05:00:00,27,30.2,24.2,84.91,0,0,,0,0,,8,358,1008.6,27.1,9.7,0,,0,,Partially cloudy,partly-cloudy-night,"VTBS,VTBD,48456099999,48459099999"
Bangkok,2021-11-16T06:00:00,27,30.2,24.2,84.91,0,0,,0,0,,4.6,18,1009,27.1,9.7,4.7,0,0,,Partially cloudy,partly-cloudy-night,"VTBS,VTBD,48456099999,48459099999"
Bangkok,2021-11-16T07:00:00,27.1,30,23.3,79.9,0,0,,0,0,,1.4,33,1009.6,78.9,9.9,9,0,0,,Partially cloudy,partly-cloudy-day,"48429099999,F1926,48455099999,48453099999,48456099999,48454099999,48459099999"
Bangkok,2021-11-16T08:00:00,27.7,31.1,23.5,77.7,0,0,,0,0,,10.7,112,1010.6,27.1,8.3,42,0.2,0,,Partially cloudy,partly-cloudy-day,"F1926,VTBS,VTBD,48456099999,48459099999"
Bangkok,2021-11-16T09:00:00,27.7,31.1,23.5,77.7,0,0,,0,0,,16.6,87,1011,27.1,10,86,0.3,1,,Partially cloudy,partly-cloudy-day,"F1926,VTBS,VTBD,48456099999,48459099999"
