name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Bangkok,2022-11-21T00:00:00,26.7,28.9,22.6,78.23,0,0,,0,0,8.3,2,41,1008.6,25,10,0,,0,10,Partially cloudy,partly-cloudy-night,"VTBS,VTBD"
Bangkok,2022-11-21T01:00:00,27,29.4,22.6,77.03,0,0,,0,0,3.2,0.7,41,1008,25,10,0,,0,10,Partially cloudy,partly-cloudy-night,"VTBS,VTBD"
Bangkok,2022-11-21T02:00:00,27,29.4,22.6,77.03,0,0,,0,0,4.7,3.1,255,1007.6,64.8,10,0,,0,10,Partially cloudy,partly-cloudy-night,"VTBS,VTBD"
Bangkok,2022-11-21T03:00:00,27,29.4,22.6,77.03,0.7,100,rain,0,0,8.6,4.7,294,1007,25,10,0,,0,10,"Rain, Partially cloudy",rain,"VTBS,VTBD"
Bangkok,2022-11-21T04:00:00,27,29.4,22.6,77.03,0.7,100,rain,0,0,11.2,6.1,358,1006.6,48.2,10,0,,0,10,"Rain, Partially cloudy",rain,"VTBS,VTBD"
Bangkok,2022-11-21T05:00:00,26.6,26.6,22.6,78.72,0.4,100,rain,0,0,12.6,3.6,327,1006.6,48.2,10,0,,0,10,"Rain, Partially cloudy",rain,"VTBS,VTBD"
Bangkok,2022-11-21T06:00:00,26.6,26.6,22.6,78.72,0.1,100,rain,0,0,14.4,6.8,317,1006.6,48.2,10,0,,0,10,"Rain, Partially cloudy",rain,"VTBS,VTBD"
Bangkok,2022-11-21T07:00:00,27,29.8,23.6,81.83,0,0,,0,0,16.9,9,330,1007,48.2,10,34,0.1,0,10,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD"
Bangkok,2022-11-21T08:00:00,28,31.6,23.6,77.18,0,0,,0,0,19.8,10.5,336,1007.6,48.2,10,135,0.5,1,10,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD"
Bangkok,2022-11-21T09:00:00,28.9,32.6,23,70.1,0,0,,0,0,27.7,16.4,13,1008.6,48.2,10,161,0.6,2,10,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD"
Bangkok,2022-11-21T10:00:00,29.3,33.2,23,68.62,0,0,,0,0,27,13.4,23,1009,48.2,10,374,1.3,4,10,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD"
Bangkok,2022-11-21T11:00:00,30.6,34,22,60.05,0,0,,0,0,22.7,12.3,53,1008.6,48.2,10,514,1.9,5,10,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD"
Bangkok,2022-11-21T12:00:00,31,35.4,23,62.49,0,0,,0,0,21.2,10.7,40,1007.6,25,10,651,2.3,7,10,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD"
Bangkok,2022-11-21T13:00:00,32,36.3,22.6,57.73,0,0,,0,0,18,7.9,40.3,1006,25,10,305,1.1,3,10,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD"
Bangkok,2022-11-21T14:00:00,32,35.7,22,55.55,0,0,,0,0,11.9,15.4,32,1005.6,25,10,296,1.1,3,10,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD"
Bangkok,2022-11-21T15:00:00,31.6,35.2,22,56.73,0,0,,0,0,9.4,15,50,1005,48.2,10,251,0.9,3,10,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD"
Bangkok,2022-11-21T16:00:00,31,35,22.6,61.1,0,0,,0,0,7.2,1.8,52.2,1005,48.2,10,121,0.4,1,10,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD"
Bangkok,2022-11-21T17:00:00,31,34.4,22,58.8,0,0,,0,0,5,10,25,1005.6,48.2,10,50,0.2,1,10,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD"
Bangkok,2022-11-21T18:00:00,30.6,34.3,22.3,61.42,0,0,,0,0,5,11.2,16,1006,48.2,10,8,0,0,10,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD"
Bangkok,2022-11-21T19:00:00,30,33.7,22.6,64.71,0,0,,0,0,6.8,9.4,325,1007,48.2,10,0,,0,10,Partially cloudy,partly-cloudy-night,"VTBS,VTBD"
Bangkok,2022-11-21T20:00:00,30,34.3,23.2,67.23,0,0,,0,0,7.2,7.9,315,1007,25,10,0,,0,10,Partially cloudy,partly-cloudy-night,"VTBS,VTBD"
Bangkok,2022-11-21T21:00:00,30,34.6,23.6,68.74,0,0,,0,0,7.2,7.2,301,1008,25,10,0,,0,10,Partially cloudy,partly-cloudy-night,"VTBS,VTBD"
Bangkok,2022-11-21T22:00:00,28.9,33.1,23.6,72.82,0,0,,0,0,7.6,6.1,317,1008,25,10,0,,0,10,Partially cloudy,partly-cloudy-night,"VTBS,VTBD"
Bangkok,2022-11-21T23:00:00,26.6,26.6,22.4,77.77,0,0,,0,0,7.2,6.1,301.7,1008,5.4,24.1,0,,0,10,Clear,clear-night,
